 Year       Month  Enso3,4       solar          QBO1          QBO2            EHF_NH          EHF_SH         AO         AAO
 1991.0417  1      0.4900000      0.1665960     -0.9823660      -1.327560       63.19050      -61.94340       2.970400      -2.303500
 1991.1250  2      0.3200000      0.1689160     -0.8651710      -1.426150       78.47650      -61.94340       2.094400      -2.303500
 1991.2083  3     0.03000000      0.1733230      -1.195260      -1.334940       95.00650      -4.729900       1.567600      0.5223000
 1991.2917  4      0.1900000      0.1677590      -1.794370     -0.7794690       102.4000      -12.06360       2.097800     -0.1171000
 1991.3750  5      0.2600000      0.1658320      -2.268010    -0.01808960       102.4000      -17.68620       2.097800     -0.6557000
 1991.4583  6      0.5200000      0.1669860      -1.926930      0.7219450       102.4000      -25.93630       2.097800      -1.810300
 1991.5417  7      0.7600000      0.1684780      -1.352560       1.120290       102.4000      -34.77520       2.097800      -3.030500
 1991.6250  8      0.6800000      0.1686470     -0.9017530       1.222960       102.4000      -44.72120       2.097800      -2.995000
 1991.7083  9      0.4200000      0.1668000     -0.6593380       1.212030       5.070800      -59.24820     -0.1122000      -3.508000
 1991.7917 10      0.8600000      0.1664620     -0.5016970       1.281850       13.23270      -82.88920     -0.3641000      -4.131200
 1991.8750 11       1.200000      0.1645030     0.01027810       1.507150       25.99370      -82.88920    -0.07940000      -4.131200
 1991.9583 12       1.690000      0.1657760      0.1967770       1.395950       44.27470      -82.88920       1.533800      -4.131200
 1992.0417  1       1.840000      0.1682440      0.2129940       1.437690       68.68070      -82.88920       2.083800      -4.131200
 1992.1250  2       1.780000      0.1692680      0.1081860       1.373360       83.44170      -82.88920       3.205500      -4.131200
 1992.2083  3       1.380000      0.1655270      0.4658830       1.490100       104.4000      -7.312800       4.189700      -1.010300
 1992.2917  4       1.200000      0.1637250      0.8158390       1.500650       112.6140      -13.73540       3.669200      -1.449600
 1992.3750  5       1.040000      0.1599750       1.341900       1.361210       112.6140      -24.44340       3.669200      -3.481600
 1992.4583  6      0.5800000      0.1586290       2.204980       1.148260       112.6140      -37.07340       3.669200      -5.674900
 1992.5417  7      0.2200000      0.1593350       2.763330      0.7044180       112.6140      -45.30370       3.669200      -6.241100
 1992.6250  8     0.05000000      0.1582160       3.186520      0.3219770       112.6140      -51.76230       3.669200      -6.590600
 1992.7083  9    -0.06000000      0.1577180       3.279620    -0.08415940       5.687500      -67.66630     -0.6403000      -6.155600
 1992.7917 10     -0.3000000      0.1585570       3.154440     -0.4958320       13.75670      -86.27530      -1.006200      -6.475000
 1992.8750 11     -0.2800000      0.1596850       2.927350      -1.060190       28.93270      -86.27530     -0.2892000      -6.475000
 1992.9583 12     -0.1500000      0.1597830       2.088080      -1.520790       44.18570      -86.27530       1.337500      -6.475000
 1993.0417  1      0.1400000      0.1577970       1.084040      -1.670070       55.87770      -86.27530       4.832800      -6.475000
 1993.1250  2      0.4100000      0.1583130      0.7870010      -1.896770       74.18270      -86.27530       5.017300      -6.475000
 1993.2083  3      0.3900000      0.1588070      0.1823390      -1.955690       90.48270      -4.721000       5.781600     -0.3776000
 1993.2917  4      0.5900000      0.1575150     -0.5388040      -1.948650       103.6350      -10.84810       5.346200     -0.2904000
 1993.3750  5      0.7800000      0.1567320      -1.637060      -1.490680       103.6350      -17.51690       5.346200      0.9695000
 1993.4583  6      0.3500000      0.1569480      -2.123510     -0.7242220       103.6350      -25.52380       5.346200       2.187400
 1993.5417  7      0.2300000      0.1558270      -1.919490     -0.2010910       103.6350      -35.10180       5.346200       4.144500
 1993.6250  8      0.1300000      0.1550210      -1.764530     -0.1463560       103.6350      -48.35080       5.346200       5.227400
 1993.7083  9      0.3500000      0.1534780      -1.999880    -0.08363760       4.661300      -58.82080     -0.3606000       6.288400
 1993.7917 10     0.06000000      0.1540810      -2.240870      0.1393560       15.82730      -76.00780     -0.9256000       7.036500
 1993.8750 11      0.0000000      0.1539690      -2.163640      0.4729610       31.09130      -76.00780     0.07620000       7.036500
 1993.9583 12      0.1600000      0.1548660      -1.776420      0.7246040       52.31630      -76.00780    -0.02790000       7.036500
 1994.0417  1      0.1000000      0.1553470      -1.643270      0.8200200       66.12730      -76.00780     -0.3158000       7.036500
 1994.1250  2     0.06000000      0.1549620      -1.850300      0.8990900       77.70130      -76.00780      -1.177300       7.036500
 1994.2083  3      0.1100000      0.1542260      -2.025310       1.009220       93.43630      -6.537300      0.7037000      0.6933000
 1994.2917  4      0.2600000      0.1527120      -1.943020       1.362740       105.9720      -13.46130      0.9284000      0.6408000
 1994.3750  5      0.3100000      0.1526920     -0.9590910       1.946690       105.9720      -22.70590      0.9284000      0.4881000
 1994.4583  6      0.3200000      0.1524980      0.7998540       2.552090       105.9720      -27.62100      0.9284000      -1.193800
 1994.5417  7      0.2400000      0.1527020       1.738860       2.556870       105.9720      -35.96490      0.9284000      -1.686000
